route_id,name,short_name,score_mean,score_std,score_min,score_max,grade_stability_ab,grade_stability_de,stability_class,driver_vulnerability,driver_temporal,driver_monopoly,driver_opportunity
432,432 — Bethel - Summerwood,432,8.19,2.63,4.3,20.28,0.0,100.0,Bedrock Resilient,3.69,4.84,15.95,8.26
433,433 — Bethel - Clarkdale,433,8.95,2.63,5.01,21.1,0.0,100.0,Bedrock Resilient,5.96,4.66,16.92,8.27
433A,433A — School Special,433A,13.77,5.19,6.81,36.12,0.0,97.1,Moderate Stability,29.48,3.02,14.97,7.64
440,440 — Bethel - Heritage Hills,440,9.53,2.83,5.34,22.5,0.0,100.0,Bedrock Resilient,7.08,4.51,18.21,8.34
441,441 — Bethel - Ordze - Regency,441,12.1,4.79,5.83,33.89,0.0,98.5,Moderate Stability,8.98,3.66,27.81,7.95
441A,441A — Bethel - Regency,441A,11.43,4.09,6.34,31.07,0.0,99.7,Moderate Stability,24.4,3.84,9.51,7.95
442,442 — Bethel - Nottingham,442,8.0,2.65,4.08,20.09,0.0,100.0,Bedrock Resilient,3.06,4.87,15.7,8.35
443,443 — Bethel - Ordze - Glen Allan,443,18.66,10.43,6.49,60.85,1.6,83.1,Policy Swing Corridor,13.11,1.23,53.9,6.4
450,450 — Bethel - Centre In The Park,450,8.27,2.6,4.41,20.25,0.0,100.0,Bedrock Resilient,4.02,4.82,15.98,8.27
451,451 — Bethel - Ordze - Woodbridge,451,15.07,7.03,6.33,45.4,0.0,92.8,Moderate Stability,12.05,2.56,38.36,7.3
500X,500X — Meadows - Macewan,500X,47.0,18.76,17.0,90.68,34.9,19.8,Policy Swing Corridor,29.84,8.42,39.95,109.8
501,501 — Davies - Capilano,501,65.88,12.15,40.3,91.0,70.5,0.0,Moderate Stability,40.64,66.15,105.12,51.59
502,502 — Davies - South Campus,502,15.3,8.27,4.43,49.75,0.4,93.3,Policy Swing Corridor,-1.11,2.3,20.97,39.04
503,503 — Davies - Millbourne - Woodvale,503,25.68,18.95,5.54,87.04,11.9,71.4,Policy Swing Corridor,-1.01,-0.32,13.45,90.6
504,504 — Meadows - Davies,504,23.99,12.05,6.12,62.27,3.8,72.7,Policy Swing Corridor,-7.55,33.49,13.4,56.61
506,506 — Davies - Meadows - Maple,506,70.2,10.33,40.59,87.21,96.2,0.0,Bedrock Essential,60.6,98.85,78.26,43.09
507,507 — Tamarack - Southgate,507,45.86,22.7,9.74,89.78,32.4,31.3,Policy Swing Corridor,-4.47,98.71,5.25,83.95
508,508 — Meadows - Mill Woods,508,73.39,13.23,28.66,91.61,91.1,0.0,Bedrock Essential,98.3,93.14,71.08,31.04
509,509 — Mill Woods - Millbourne,509,30.43,12.01,13.66,70.49,0.5,62.8,Policy Swing Corridor,4.68,70.08,22.84,24.14
511,511 — Mill Woods - Downtown,511,48.38,23.21,9.74,93.68,42.6,28.0,Policy Swing Corridor,67.14,-3.45,13.88,115.95
512,512 — Mill Woods - South Edmonton Common,512,34.07,10.19,18.95,66.08,0.0,42.2,Moderate Stability,11.74,66.29,21.93,36.31
513,513 — Mill Woods - Knottwood,513,34.76,8.86,19.77,59.12,0.2,37.2,Moderate Stability,46.11,58.1,18.78,16.02
514,514 — Mill Woods - Millhurst,514,27.03,7.87,16.35,56.86,0.0,75.2,Moderate Stability,26.67,52.8,14.04,14.6
515,515 — Mill Woods - Meadows,515,63.66,16.71,31.39,95.39,60.9,1.2,Policy Swing Corridor,119.43,51.26,52.34,31.62
516,516 — Mill Woods - Laurel - Meadows,516,74.65,16.7,32.26,98.68,84.2,0.0,Moderate Stability,125.95,74.85,58.3,39.49
517,517 — Mill Woods - Southwood,517,61.68,16.25,23.29,90.24,71.3,1.8,Policy Swing Corridor,76.11,106.5,44.96,19.14
518,518 — Mill Woods - Century Park,518,79.98,12.61,47.88,98.08,90.0,0.0,Bedrock Essential,117.63,57.97,84.38,59.96
519,519 — Mill Woods - Century Park,519,89.08,8.06,54.24,98.8,100.0,0.0,Bedrock Essential,109.92,94.52,83.02,68.88
521,521 — Mill Woods - Century Park,521,80.36,7.88,56.73,90.95,96.7,0.0,Bedrock Essential,99.06,66.81,91.91,63.65
522,522 — Capilano - Bonnie Doon,522,52.54,14.68,24.32,82.4,42.7,3.7,Moderate Stability,27.72,93.23,68.69,20.52
523,523 — Mill Woods - Downtown,523,94.65,5.73,59.19,99.29,100.0,0.0,Bedrock Essential,77.8,95.27,100.37,105.17
524,524 — Bonnie Doon - Holyrood,524,8.9,2.35,5.99,22.39,0.0,100.0,Bedrock Resilient,6.68,4.63,9.03,15.24
525,525 — Bonnie Doon - Ritchie,525,8.97,2.6,5.23,22.39,0.0,100.0,Bedrock Resilient,4.59,4.61,11.44,15.24
526,526 — Mill Woods - Millbourne Woodvale,526,26.31,13.63,8.64,71.95,7.3,67.1,Policy Swing Corridor,29.36,-1.74,8.28,69.34
527,527 — Mill Woods - Millbourne,527,75.66,13.49,26.08,90.54,91.3,0.0,Bedrock Essential,94.71,92.04,86.72,29.18
540,540 — Beaumont To Edmonton,540,12.36,3.46,7.72,25.81,0.0,100.0,Moderate Stability,20.77,3.51,9.92,15.23
560,560 — Spruce Grove - Downtown Edmonton,560,75.27,17.75,34.05,98.98,79.3,0.2,Policy Swing Corridor,45.02,46.71,80.85,128.48
589,589 — Edmonton Waste Management Centre - Coliseum,589,41.13,26.76,10.37,97.7,26.5,47.7,Policy Swing Corridor,15.5,134.09,6.69,8.23
700X,700X — Century Park - Heritage Valley,700X,28.39,17.91,10.71,85.54,4.9,70.2,Policy Swing Corridor,5.8,90.7,7.64,9.4
701,701 — Southgate - Kingsway,701,67.56,20.85,32.21,98.98,62.2,0.0,Moderate Stability,39.75,57.41,37.06,136.0
702,702 — Southgate - South Campus,702,31.85,16.29,12.24,82.39,4.4,61.4,Policy Swing Corridor,3.69,87.85,19.39,16.46
703,703 — Leger - South Campus,703,36.06,11.06,16.56,63.2,1.9,35.9,Moderate Stability,21.25,62.96,52.18,7.86
704,704 — Southgate - Southpark,704,55.75,23.28,19.34,97.7,50.1,10.6,Policy Swing Corridor,16.12,134.05,28.2,44.65
705,705 — Century Park - Southgate,705,47.78,16.34,24.99,88.06,20.7,5.0,Policy Swing Corridor,35.19,104.54,21.34,30.06
706,706 — Leger - Southgate,706,61.17,21.89,21.36,97.7,62.8,6.3,Policy Swing Corridor,26.59,131.55,62.3,24.25
707,707 — Century Park - Southgate,707,47.05,10.16,26.44,71.14,12.5,0.8,Moderate Stability,37.34,76.1,54.46,20.28
708,708 — Century Park - Southgate,708,53.93,17.71,26.08,92.29,43.8,2.6,Policy Swing Corridor,35.05,114.52,43.32,22.81
709,709 — Century Park - Southgate,709,49.72,14.33,25.17,83.71,29.7,2.9,Moderate Stability,22.61,95.84,53.42,26.99
712,712 — Century Park - Yellowbird,712,22.41,6.76,12.47,48.65,0.0,88.1,Moderate Stability,26.93,42.16,9.0,11.56
713,713 — Century Park - Twin Brooks,713,34.22,18.87,13.82,88.21,9.3,56.7,Policy Swing Corridor,14.94,100.25,12.43,9.24
715,715 — Leger - Century Park,715,78.2,17.39,21.2,97.91,90.3,0.8,Bedrock Essential,110.85,108.52,64.77,28.64
716,716 — Leger - Century Park,716,56.26,14.73,30.75,89.01,54.1,0.0,Moderate Stability,45.26,106.38,45.3,28.1
717,717 — Leger - Century Park,717,65.71,14.82,31.39,93.73,68.3,0.0,Moderate Stability,113.09,58.6,59.62,31.54
718,718 — Leger - Century Park,718,52.93,10.68,26.85,73.64,37.3,0.4,Moderate Stability,77.48,67.69,45.44,21.11
719,719 — Century Park - Chappelle,719,31.12,6.7,20.81,54.14,0.0,43.9,Moderate Stability,31.08,51.39,28.21,13.81
721,721 — Century Park - Rutherford - Desrochers,721,47.27,9.75,23.09,66.08,16.8,8.0,Moderate Stability,54.09,69.31,50.5,15.18
722,722 — Century Park - Rutherford - Allard,722,51.32,12.3,21.87,74.12,34.1,6.9,Moderate Stability,73.43,74.52,43.62,13.69
723,723 — University - Parkallen,723,14.29,4.16,8.46,32.04,0.0,99.1,Moderate Stability,13.61,2.78,16.04,24.72
724,724 — Leger - Brander Gardens - South Campus,724,28.41,13.78,7.77,69.99,7.5,60.8,Policy Swing Corridor,68.83,-2.38,38.36,8.83
727,727 — Heritage Valley - Chappelle,727,12.91,4.89,6.94,35.3,0.0,98.1,Moderate Stability,28.37,3.29,8.38,11.59
729,729 — Leger - Century Park,729,37.54,8.59,21.83,61.75,0.0,24.6,Moderate Stability,42.09,62.08,32.01,13.99
747,747 — Century Park - Edmonton International Airport,747,43.2,26.43,10.6,97.67,29.4,41.9,Policy Swing Corridor,23.0,134.47,6.43,8.91
900X,900X — Lewis Farms - Downtown,900X,93.92,10.57,26.43,99.49,95.5,0.0,Bedrock Essential,104.3,62.73,102.54,106.11
901,901 — Jasper Place - Downtown,901,93.27,5.4,67.83,99.13,100.0,0.0,Bedrock Essential,79.73,99.2,88.4,105.77
902,902 — Nait - University,902,86.68,3.07,73.92,91.59,100.0,0.0,Bedrock Essential,82.06,81.55,95.16,87.95
903,903 — Jasper Place - Kingsway,903,75.93,13.06,28.11,90.5,90.7,0.1,Bedrock Essential,30.72,88.98,88.64,95.36
904,904 — West Edmonton Mall - Westmount,904,21.42,12.02,5.49,55.73,1.8,78.4,Policy Swing Corridor,-7.44,40.73,4.38,48.01
905,905 — Northgate - Westmount,905,30.2,14.51,8.64,73.71,10.8,55.7,Policy Swing Corridor,11.97,-3.09,38.18,73.73
906,906 — West Edmonton Mall - Westmount,906,35.36,22.45,8.65,93.25,23.2,52.7,Policy Swing Corridor,12.95,-1.87,17.44,112.91
907,907 — West Edmonton Mall - Westmount,907,72.79,14.6,38.67,96.21,83.9,0.0,Moderate Stability,42.9,78.78,52.27,117.2
908,908 — Jasper Place - Westmount,908,29.84,21.85,6.46,92.09,17.3,64.1,Policy Swing Corridor,2.43,-0.66,12.02,105.57
909,909 — Jasper Place - Westmount,909,54.6,14.84,29.65,88.06,47.8,0.0,Moderate Stability,27.58,104.42,51.45,34.93
910X,910X — West Lymburn - Lessard - South Campus,910X,37.95,17.95,8.49,81.25,25.8,40.1,Moderate Stability,87.55,-4.63,56.5,12.38
912,912 — Lewis Farms - Jasper Place,912,51.41,25.94,11.12,97.7,44.2,25.6,Policy Swing Corridor,1.91,133.29,11.76,58.68
913,913 — West Edmonton Mall - Jamieson Place,913,50.03,4.88,40.49,62.13,22.3,0.0,Moderate Stability,64.69,53.2,38.85,43.38
914,914 — West Edmonton Mall - Jasper Place,914,83.82,4.77,71.14,91.44,100.0,0.0,Bedrock Essential,81.92,99.22,76.63,77.49
915,915 — West Edmonton Mall - Jasper Place,915,55.17,6.19,42.74,68.77,54.5,0.0,Moderate Stability,72.86,44.92,41.77,61.12
916,916 — West Edmonton Mall - Lewis Farms,916,75.83,10.27,53.25,94.82,94.7,0.0,Bedrock Essential,110.24,68.3,65.75,59.03
917,917 — West Edmonton Mall - Lewis Farms,917,72.05,11.21,43.51,93.07,87.1,0.0,Moderate Stability,108.12,65.02,67.63,47.43
918,918 — West Edmonton Mall - Lessard,918,68.19,11.73,43.0,89.02,95.9,0.0,Bedrock Essential,78.58,101.85,44.04,48.28
919,919 — Lewis Farms - Secord,919,11.35,1.74,8.82,19.3,0.0,99.8,Moderate Stability,14.59,12.42,8.31,10.08
920X,920X — Lewis Farms - University Express,920X,33.47,11.1,10.57,49.75,6.2,40.6,Moderate Stability,44.41,-4.95,48.56,45.85
921,921 — Jasper Place - Westview Village,921,49.05,19.69,14.69,90.45,35.6,15.5,Policy Swing Corridor,4.44,108.72,22.89,60.14
922,922 — Lewis Farms - Rosenthal,922,18.52,10.76,8.64,65.0,0.0,87.5,Moderate Stability,4.21,55.02,6.6,8.23
923,923 — West Edmonton Mall - Oleskiw,923,57.98,23.1,14.07,97.7,55.1,9.8,Policy Swing Corridor,43.85,132.7,7.38,48.0
924,924 — Jasper Place - Rio Terrace,924,41.53,16.63,10.57,81.0,29.1,30.7,Moderate Stability,88.62,-6.01,46.69,36.8
925,925 — West Edmonton Mall - Jasper Place,925,42.26,21.11,8.63,85.88,34.1,36.4,Policy Swing Corridor,72.5,-4.45,5.41,95.57
926,926 — Lewis Farms - Stillwater,926,40.96,22.44,10.18,93.62,20.6,40.2,Policy Swing Corridor,34.64,116.47,-0.07,12.78
930X,930X — The Grange - South Campus,930X,31.48,16.36,7.84,79.35,13.2,55.2,Policy Swing Corridor,82.78,-2.95,37.07,9.0
A12,A12 — Campbell - Akinsdale,A12,6.79,1.2,5.18,13.55,0.0,100.0,Bedrock Resilient,7.49,5.12,6.25,8.28
A13,A13 — Akinsdale - Campbell,A13,6.76,1.19,5.17,13.55,0.0,100.0,Bedrock Resilient,7.3,5.13,6.33,8.28
A14,A14 — Sturgeon Hospital - St Albert North,A14,25.74,20.68,5.03,90.18,7.0,73.2,Policy Swing Corridor,-7.77,96.27,8.67,5.8
A21,A21 — Heritage Lakes - Riel,A21,8.56,1.8,6.11,16.87,0.0,100.0,Bedrock Resilient,12.66,4.75,8.32,8.53
A22,A22 — Riel - Heritage Lakes,A22,7.37,1.42,5.48,13.6,0.0,100.0,Bedrock Resilient,9.84,5.01,6.32,8.32
A23,A23 — Heritage Lakes - Riel,A23,7.41,1.5,5.41,14.21,0.0,100.0,Bedrock Resilient,10.33,5.0,6.0,8.31
A24,A24 — The Gardens,A24,8.36,1.56,5.83,13.55,0.0,100.0,Bedrock Resilient,9.53,4.83,10.72,8.35
A3,A3 — Riverside,A3,5.7,1.37,3.75,13.67,0.0,100.0,Bedrock Resilient,2.98,5.24,6.42,8.17
A31,A31 — Heritage Lakes - The Gardens,A31,13.32,4.44,6.72,30.0,0.0,99.2,Moderate Stability,16.67,3.23,25.5,7.9
A32,A32 — Akinsdale - Campbell - Pineview - Forest Lawn,A32,16.43,7.06,6.8,44.15,0.0,91.1,Moderate Stability,18.33,2.02,38.23,7.14
A33,A33 — Sturgeon - Forest Lawn - Woodlands - Braeside,A33,14.77,5.87,6.69,38.5,0.0,95.5,Moderate Stability,16.04,2.67,32.84,7.55
A4,A4 — Lacombe - Deer Ridge,A4,13.1,4.04,6.84,25.11,0.0,100.0,Moderate Stability,20.36,3.31,20.77,7.95
A5,A5 — Deer Ridge - Lacombe,A5,13.49,4.28,6.84,25.92,0.0,100.0,Moderate Stability,21.13,3.16,21.8,7.87
A6,A6 — Deer Ridge - North Ridge,A6,17.65,8.16,6.82,49.59,0.1,87.4,Policy Swing Corridor,18.81,1.55,43.44,6.82
A7,A7 — Sturgeon Hospital - Erin Ridge - Oakmont,A7,8.44,1.6,5.81,13.87,0.0,100.0,Bedrock Resilient,9.22,4.81,11.18,8.54
A8,A8 — Oakmont - Erin Ridge - Sturgeon Hospital,A8,9.7,2.15,6.52,18.0,0.0,100.0,Bedrock Resilient,13.81,4.46,12.05,8.48
A9,A9 — Sturgeon - Kingswood - Woodlands,A9,9.73,2.17,6.5,18.05,0.0,100.0,Bedrock Resilient,13.85,4.45,12.26,8.37
L1,1 — Leduc - Nisku - Edmonton,1,17.33,7.17,7.34,45.49,0.0,89.7,Moderate Stability,38.98,1.62,19.88,8.84
L10,10 — Leduc - Nisku - Eia,10,34.94,27.53,5.64,97.7,20.3,58.2,Policy Swing Corridor,-5.94,130.06,8.74,6.89
