DAUID,low_income,minority,total_pop,total_pop_census,seniors,lone_parent,recent_immigrant,youth_15_24,visible_minority,low_income_lim
48110995,95.0,340.0,828.0,828.0,10.9,80.0,130.0,45.0,340.0,230.0
48110996,200.0,65.0,573.0,573.0,34.8,15.0,30.0,20.0,65.0,25.0
48110997,120.0,140.0,559.0,559.0,22.3,10.0,15.0,25.0,140.0,35.0
48110998,100.0,35.0,456.0,456.0,22.0,5.0,0.0,0.0,35.0,20.0
48110999,185.0,300.0,583.0,583.0,31.0,20.0,40.0,65.0,300.0,35.0
48111000,125.0,90.0,433.0,433.0,28.7,10.0,40.0,10.0,90.0,15.0
48111001,80.0,70.0,335.0,335.0,23.9,5.0,0.0,0.0,70.0,10.0
48111002,95.0,260.0,755.0,755.0,12.6,50.0,170.0,35.0,260.0,110.0
48111003,310.0,465.0,1464.0,1464.0,21.2,110.0,210.0,65.0,465.0,260.0
48111007,150.0,350.0,781.0,781.0,18.6,65.0,140.0,60.0,350.0,140.0
48111008,90.0,85.0,511.0,511.0,16.7,35.0,10.0,15.0,85.0,40.0
48111009,125.0,150.0,478.0,478.0,26.0,15.0,0.0,35.0,150.0,15.0
48111010,105.0,120.0,486.0,486.0,20.6,15.0,45.0,20.0,120.0,20.0
48111013,125.0,45.0,457.0,457.0,27.2,10.0,20.0,20.0,45.0,25.0
48111014,145.0,280.0,973.0,973.0,14.9,35.0,75.0,90.0,280.0,40.0
48111016,170.0,165.0,625.0,625.0,26.4,20.0,25.0,25.0,165.0,40.0
48111017,0.0,0.0,240.0,240.0,16.7,5.0,0.0,0.0,0.0,0.0
48111021,70.0,75.0,398.0,398.0,17.7,30.0,20.0,0.0,75.0,40.0
48111022,70.0,90.0,413.0,413.0,16.9,15.0,25.0,20.0,90.0,10.0
48111023,20.0,45.0,256.0,256.0,5.8,15.0,15.0,10.0,45.0,5.0
48111024,0.0,80.0,225.0,225.0,13.3,10.0,0.0,10.0,80.0,0.0
48111025,140.0,335.0,961.0,961.0,14.1,40.0,60.0,70.0,335.0,50.0
48111026,50.0,100.0,433.0,433.0,12.8,15.0,25.0,0.0,100.0,15.0
48111027,65.0,215.0,493.0,493.0,13.1,25.0,40.0,25.0,215.0,25.0
48111028,125.0,315.0,930.0,930.0,14.0,55.0,100.0,65.0,315.0,70.0
48111029,110.0,370.0,695.0,695.0,15.8,35.0,130.0,50.0,370.0,45.0
48111030,120.0,225.0,910.0,910.0,13.2,105.0,105.0,15.0,225.0,145.0
48111035,140.0,155.0,704.0,704.0,19.9,35.0,55.0,40.0,155.0,45.0
48111036,60.0,220.0,535.0,535.0,11.2,50.0,115.0,75.0,220.0,55.0
48111037,70.0,100.0,348.0,348.0,20.0,20.0,50.0,15.0,100.0,20.0
48111038,335.0,220.0,857.0,857.0,39.0,45.0,80.0,55.0,220.0,70.0
48111039,60.0,65.0,369.0,369.0,31.1,15.0,20.0,25.0,65.0,30.0
48111041,95.0,50.0,582.0,582.0,17.1,35.0,0.0,10.0,50.0,35.0
48111042,85.0,20.0,346.0,346.0,26.1,15.0,0.0,10.0,20.0,15.0
48111043,115.0,40.0,628.0,628.0,19.0,25.0,0.0,15.0,40.0,15.0
48111045,125.0,55.0,634.0,634.0,20.6,15.0,10.0,0.0,55.0,25.0
48111046,165.0,200.0,1196.0,1196.0,13.8,60.0,70.0,25.0,200.0,85.0
48111047,40.0,220.0,563.0,563.0,7.1,55.0,90.0,10.0,220.0,80.0
48111048,250.0,125.0,963.0,963.0,26.6,20.0,10.0,10.0,125.0,25.0
48111049,85.0,30.0,371.0,371.0,22.7,15.0,30.0,0.0,30.0,10.0
48111050,75.0,25.0,356.0,356.0,22.5,10.0,0.0,0.0,25.0,10.0
48111051,100.0,60.0,508.0,508.0,20.8,15.0,0.0,15.0,60.0,20.0
48111052,105.0,15.0,417.0,417.0,25.3,10.0,0.0,0.0,15.0,10.0
48111053,175.0,45.0,492.0,492.0,58.2,10.0,0.0,10.0,45.0,20.0
48111054,70.0,30.0,295.0,295.0,22.0,5.0,0.0,0.0,30.0,15.0
48111055,70.0,35.0,314.0,314.0,22.6,5.0,0.0,15.0,35.0,10.0
48111056,125.0,65.0,569.0,569.0,21.9,10.0,0.0,0.0,65.0,30.0
48111057,95.0,105.0,539.0,539.0,17.6,20.0,15.0,0.0,105.0,25.0
48111058,70.0,60.0,604.0,604.0,12.4,25.0,0.0,15.0,60.0,15.0
48111059,85.0,65.0,496.0,496.0,18.0,25.0,35.0,0.0,65.0,35.0
48111060,105.0,50.0,484.0,484.0,20.6,15.0,0.0,15.0,50.0,15.0
48111061,70.0,65.0,469.0,469.0,14.9,30.0,0.0,10.0,65.0,35.0
48111062,70.0,55.0,365.0,365.0,20.5,15.0,40.0,0.0,55.0,20.0
48111063,115.0,640.0,1321.0,1321.0,8.7,95.0,330.0,85.0,640.0,220.0
48111064,100.0,250.0,627.0,627.0,16.0,40.0,135.0,10.0,250.0,75.0
48111065,50.0,230.0,461.0,461.0,10.9,30.0,70.0,15.0,230.0,90.0
48111066,75.0,190.0,625.0,625.0,12.0,40.0,95.0,50.0,190.0,140.0
48111067,105.0,90.0,702.0,702.0,14.3,20.0,10.0,10.0,90.0,25.0
48111068,95.0,170.0,545.0,545.0,17.4,35.0,35.0,30.0,170.0,110.0
48111069,80.0,50.0,349.0,349.0,22.9,20.0,0.0,10.0,50.0,15.0
48111070,65.0,70.0,421.0,421.0,14.3,25.0,0.0,20.0,70.0,70.0
48111071,55.0,80.0,473.0,473.0,11.6,30.0,30.0,10.0,80.0,40.0
48111072,50.0,240.0,461.0,461.0,10.9,35.0,95.0,35.0,240.0,55.0
48111073,45.0,190.0,482.0,482.0,9.4,35.0,105.0,20.0,190.0,55.0
48111074,60.0,425.0,534.0,534.0,11.2,35.0,130.0,50.0,425.0,75.0
48111075,75.0,115.0,481.0,481.0,15.6,30.0,15.0,25.0,115.0,55.0
48111076,160.0,185.0,534.0,534.0,30.2,25.0,75.0,65.0,185.0,110.0
48111077,175.0,85.0,528.0,528.0,33.0,25.0,30.0,25.0,85.0,30.0
48111078,140.0,120.0,454.0,454.0,29.7,20.0,30.0,0.0,120.0,170.0
48111079,95.0,110.0,649.0,649.0,14.7,40.0,40.0,0.0,110.0,30.0
48111080,100.0,105.0,695.0,695.0,14.3,45.0,30.0,25.0,105.0,40.0
48111081,115.0,140.0,588.0,588.0,18.6,45.0,60.0,25.0,140.0,100.0
48111082,70.0,40.0,462.0,462.0,15.1,15.0,20.0,15.0,40.0,20.0
48111083,100.0,135.0,573.0,573.0,17.4,20.0,15.0,15.0,135.0,15.0
48111084,125.0,80.0,480.0,480.0,27.1,10.0,10.0,10.0,80.0,20.0
48111086,100.0,35.0,434.0,434.0,23.0,5.0,35.0,10.0,35.0,20.0
48111087,80.0,125.0,531.0,531.0,15.0,15.0,30.0,30.0,125.0,30.0
48111088,85.0,90.0,637.0,637.0,13.3,20.0,30.0,10.0,90.0,45.0
48111089,70.0,115.0,469.0,469.0,16.0,20.0,25.0,15.0,115.0,40.0
48111090,85.0,190.0,616.0,616.0,13.8,25.0,105.0,40.0,190.0,45.0
48111091,60.0,185.0,645.0,645.0,9.3,20.0,80.0,10.0,185.0,80.0
48111092,55.0,410.0,647.0,647.0,8.5,30.0,245.0,50.0,410.0,150.0
48111093,120.0,145.0,630.0,630.0,21.4,30.0,70.0,30.0,145.0,65.0
48111094,30.0,355.0,580.0,580.0,5.2,25.0,225.0,35.0,355.0,115.0
48111095,35.0,130.0,335.0,335.0,10.4,20.0,80.0,10.0,130.0,90.0
48111096,280.0,40.0,323.0,323.0,87.5,5.0,0.0,20.0,40.0,100.0
